id,line1,line2,type,icon_emoji,verb,template,accent,media,how_to_earn,sort_order,is_active,image_new,image_progress,image_url,description
friend,Made a Friend,YAY,adventure,⭐,Completed,signature,#4EA8DE,photo,Make a friend,0,True,https://rjufqwngmfnpkigtaukj.supabase.co/storage/v1/object/public/badge-art/friend-new-ms4zsfva.png,https://rjufqwngmfnpkigtaukj.supabase.co/storage/v1/object/public/badge-art/friend-progress-ms4zslnf.png,https://rjufqwngmfnpkigtaukj.supabase.co/storage/v1/object/public/badge-art/friend-earned-ms4zsr1k.png,Made a Friend
big-dreams,Big,Dreams,adventure,🏡,Completed,chapter,auto,photo|text,Dream up something big together / Add a photo / Earn your badge,5,True,https://rjufqwngmfnpkigtaukj.supabase.co/storage/v1/object/public/badge-art/big-dreams-new-ms4zzbt2.png,https://rjufqwngmfnpkigtaukj.supabase.co/storage/v1/object/public/badge-art/big-dreams-progress-ms4zzhyp.png,https://rjufqwngmfnpkigtaukj.supabase.co/storage/v1/object/public/badge-art/big-dreams-earned-ms5000gf.png,"You imagined big, built a little, and dreamt even bigger."
first-tooth,First,Tooth,milestone,🦷,Captured,portrait,auto,photo,Wait for the big wobble / Snap a photo of the gap / Earn your badge,10,True,,,https://rjufqwngmfnpkigtaukj.supabase.co/storage/v1/object/public/badge-art/first-tooth-ms4wk0mz.png,The day a wobbly tooth finally comes out.
our-conversation,Our,Conversation,tradition,💬,Answered,interview,auto,text|voice,Ask the month's question / Record the answer / Earn your badge,15,True,,,,A little interview about your big ideas.
first-ride,First,Ride,milestone,🚲,Captured,photo-spotlight,auto,photo|video,Take the training wheels off / Film your first real ride / Earn your badge,20,True,,,,"Two wheels, no training wheels — you did it!"
masterpiece,Your,Masterpiece,milestone,🎨,Captured,masterpiece,auto,drawing|text,Make a drawing / Photograph it / Add a love note,25,True,,,,A drawing worth framing.
first-day,First,Day,milestone,🎒,Captured,portrait,auto,photo,Pack your backpack / Take a first-day photo / Earn your badge,30,True,,,,The first morning of a brand-new school year.
grew-up,Grew,Up,milestone,🧸,Captured,portrait,auto,photo|text,Notice something new you can do / Add a photo or note / Earn your badge,40,True,,,,A little moment that shows how big you got.
rainbow,Rainbow,Hunter,adventure,🌈,Completed,photo-spotlight,auto,photo,Wait for sun after the rain / Photograph the rainbow / Earn your badge,50,True,,,,Find a rainbow and chase the colors.
baker,Family,Baker,adventure,🍪,Completed,collage,auto,photo,Pick a recipe together / Bake it (and taste it!) / Earn your badge,60,True,,,,Bake something together — flour on the nose required.
fort,Fort,Builder,adventure,⛺,Completed,photo-spotlight,auto,photo|video,Gather blankets & pillows / Build the coziest fort / Earn your badge,70,True,,,,Build a blanket fort and camp out inside.
stargazer,Star,Gazer,adventure,🌠,Completed,quote,auto,photo|voice,Wait for a clear night / Spot a constellation / Earn your badge,80,True,,,,"Look for constellations on a clear, dark night."
kindness,Kindness,Hero,adventure,❤️,Completed,quote,auto,photo|text,Spot someone who needs a hand / Do a kind thing / Earn your badge,90,True,,,,"Do something kind, just because."
birthday,Birthday,Interview,tradition,🎂,Answered,birthday,auto,voice|text,Sit down on your birthday / Answer the questions / Earn your badge,100,True,,,,"The same fun questions, asked every birthday."
year-review,Year,Review,tradition,📅,Answered,quote,auto,text,Wait for the end of your year / Answer the look-back / Earn your badge,110,True,,,,Look back at everything this year held.
story,Story,Time,tradition,🎙️,Answered,quote,auto,voice,Think up a story / Record it in your voice / Earn your badge,120,True,,,,Tell a story in your own words and your own voice.
funny-things,Funny,Things,tradition,😄,Answered,quotes,auto,text,Catch a funny quote / Write it down with the month / Earn your badge,205,True,,,,The funniest things you said this year.
favorites,Your,Favorites,tradition,⭐,Answered,favorites,auto,text,List your favorites / Compare start vs end of year / Earn your badge,215,True,,,,How your favorites changed from the start of the year to the end.
draw-yourself,Draw,Yourself,tradition,✏️,Answered,signature,auto,drawing|voice,Draw a self-portrait / Sign your name / Record your voice,225,True,,,,"A self-portrait, your signature, and your voice."
letter-future,Letter to,Future You,tradition,💌,Answered,letter,auto,text|voice,Write a letter to future you / Add your voice / Earn your badge,999,True,,,,A note to the person you will become.
